,circulating_supply,cmc_rank,date_added,id,last_updated,max_supply,name,num_market_pairs,platform,platform.id,platform.name,platform.slug,platform.symbol,quote.USD.last_updated,quote.USD.market_cap,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.price,quote.USD.volume_24h,slug,symbol,tags,total_supply
493,1625734500.0,494,2014-03-08T00:00:00.000Z,182,2018-12-09T00:54:03.000Z,,Myriad,3,,,,,,2018-12-09T00:54:03.000Z,2497578.6043118853,-2.06122,-1.8435,-20.1366,0.00153627705158,4379.21726135305,myriad,XMY,['mineable'],1625734500.0
494,1825758849.41668,495,2018-06-28T00:00:00.000Z,2881,2018-12-09T00:53:25.000Z,,Distributed Credit Chain,12,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:25.000Z,2496774.413342305,0.442109,0.648012,-15.3162,0.00136752694045,90600.8981920359,distributed-credit-chain,DCC,[],3420291356.00001
495,522694673.228,496,2018-03-31T00:00:00.000Z,2620,2018-12-09T00:53:24.000Z,,Switcheo,8,,1376.0,NEO,neo,NEO,2018-12-09T00:53:24.000Z,2476685.254658821,0.47998,-5.02484,-32.4027,0.00473830207483,25308.292774098,switcheo,SWTH,[],1000000000.0
496,463910526.92,497,2017-11-20T00:00:00.000Z,2209,2018-12-09T00:53:18.000Z,1000000000.0,Ink,26,,1684.0,Qtum,qtum,QTUM,2018-12-09T00:53:18.000Z,2467575.294682173,-8.66156,-6.24733,-46.7597,0.005319075881,3344472.37631936,ink,INK,[],1000000000.0
497,598143132.880427,498,2018-04-30T00:00:00.000Z,2686,2018-12-09T00:53:25.000Z,,Lendingblock,6,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:25.000Z,2464628.9524192624,0.0348938,9.13334,-18.2612,0.00412046685306,133631.404867759,lendingblock,LND,[],1000000000.0
498,85558370.5,499,2016-09-28T00:00:00.000Z,1403,2018-12-09T00:54:10.000Z,,FirstBlood,7,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:54:10.000Z,2392824.033926268,0.224029,-9.16263,-15.4678,0.02796715295,619.165785337942,firstblood,1ST,[],93468691.0
499,144984800.500734,500,2014-11-01T00:00:00.000Z,706,2018-12-09T00:54:06.000Z,4000000000.0,MonetaryUnit,5,,,,,,2018-12-09T00:54:06.000Z,2392271.259507866,0.749639,6.05451,-12.288,0.0165001520935,16652.6149658691,monetaryunit,MUE,['mineable'],144984800.500734
500,10916690439.3416,501,2017-09-29T00:00:00.000Z,2001,2018-12-09T00:53:14.000Z,,ColossusXT,10,,,,,,2018-12-09T00:53:14.000Z,2377315.7406660942,0.180379,-2.045,-20.4498,0.0002177689066,1619.05255889043,colossusxt,COLX,['mineable'],10957732266.3789
501,2850000000.0,502,2018-07-06T00:00:00.000Z,2901,2018-12-09T00:53:28.000Z,,FansTime,9,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:28.000Z,2369600.5437993,1.24461,-0.29642,-21.8018,0.000831438787298,50102.5955287009,fanstime,FTI,[],10000000000.0
502,412081407.854506,503,2015-02-28T00:00:00.000Z,833,2018-12-09T00:54:06.000Z,,GridCoin,7,,,,,,2018-12-09T00:54:06.000Z,2356334.168930316,0.234115,4.88041,-10.096,0.00571812783595,10279.6841295129,gridcoin,GRC,['mineable'],412081407.854506
503,3562285.07941,504,2016-01-18T00:00:00.000Z,1154,2018-12-09T00:54:06.000Z,9000000.0,Radium,3,,,,,,2018-12-09T00:54:06.000Z,2353766.298740901,-2.53806,-3.78487,-7.37672,0.660746191355,149061.806797181,radium,RADS,[],3567631.35431
504,167707171.573868,505,2017-11-13T00:00:00.000Z,2175,2018-12-09T00:53:14.000Z,,DecentBet,7,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:14.000Z,2351329.481675377,16.1585,-6.33369,-50.3409,0.0140204468277,85886.8607747269,decent-bet,DBET,[],188297502.023459
505,38345627.7395179,506,2017-12-31T00:00:00.000Z,2327,2018-12-09T00:53:20.000Z,,Olympus Labs,7,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:20.000Z,2340029.220296685,-0.345052,-0.958333,-22.5159,0.0610246684757,134990.555594437,olympus-labs,MOT,[],100000000.0
506,307090619.066062,507,2018-05-31T00:00:00.000Z,2833,2018-12-09T00:53:26.000Z,,Ivy,7,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:26.000Z,2338291.645181649,-1.79177,-1.6112,-15.8132,0.0076143375929,767.990232113049,ivy,IVY,[],1610924200.0
507,500000000.0,508,2018-04-30T00:00:00.000Z,2685,2018-12-09T00:53:25.000Z,1000000000.0,Zebi,15,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:25.000Z,2334493.648295,0.327399,-0.210134,-22.3224,0.00466898729659,308986.253275029,zebi,ZCO,[],500000000.0
508,221209249.850051,509,2014-02-10T00:00:00.000Z,122,2018-12-09T00:54:03.000Z,420000000.0,PotCoin,6,,,,,,2018-12-09T00:54:03.000Z,2329299.510447309,-0.578213,2.06187,-13.8329,0.0105298467945,4209.67594278323,potcoin,POT,['mineable'],221209249.850051
509,152250843.6227,510,2018-01-18T00:00:00.000Z,2423,2018-12-09T00:53:19.000Z,1000000000.0,Aurora DAO,2,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:19.000Z,2323338.897642566,0.0256083,-1.97754,-24.4642,0.0152599410444,3725.13189980261,aurora-dao,AURA,[],1000000000.0
510,244172892.0,511,2014-06-28T00:00:00.000Z,416,2018-12-09T00:54:04.000Z,300000000.0,HempCoin,2,,,,,,2018-12-09T00:54:04.000Z,2291269.0346484953,0.0189222,2.21701,-18.9413,0.00938379775036,5344.16065624288,hempcoin,THC,['mineable'],244172892.0
511,10999999999.9315,512,2018-08-08T00:00:00.000Z,3120,2018-12-09T00:53:31.000Z,,OWNDATA,2,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:31.000Z,2290305.5044837375,0.152517,9.59029,-6.97181,0.000208209591318,11953.3281209229,owndata,OWN,[],110000000000.0
512,32025998.4157696,513,2017-11-12T00:00:00.000Z,2176,2018-12-09T00:53:16.000Z,,Decision Token,3,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:16.000Z,2260073.8238989925,0.395705,-0.804152,-32.0152,0.070569972388,37096.1357565705,decision-token,HST,[],48240069.5496696
513,67306444.0,514,2018-05-28T00:00:00.000Z,2778,2018-12-09T00:53:28.000Z,,Eximchain,3,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:28.000Z,2258544.754304891,1.72796,-5.48258,-7.04375,0.0335561444058,4086.01206246032,eximchain,EXC,[],150000000.0
514,4492933.41078962,515,2018-07-25T00:00:00.000Z,2974,2018-12-09T00:53:28.000Z,21000000.0,Lightpaycoin,10,,,,,,2018-12-09T00:53:28.000Z,2256356.7117823437,-2.82242,-3.91042,75.999,0.502201235915,203658.328285714,lightpaycoin,LPC,[],4556450.69162725
515,1365218125.0,516,2018-01-20T00:00:00.000Z,2437,2018-12-09T00:53:21.000Z,,YEE,15,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:21.000Z,2256191.1932624816,0.560054,-9.2292,-17.7317,0.0016526232343,24681.8616205147,yee,YEE,[],10000000000.0
516,85910.0,517,2018-08-10T00:00:00.000Z,3144,2018-12-09T00:53:29.000Z,,ThoreCoin,1,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:29.000Z,2241493.37199513,-1.46371,-3.58783,-22.2729,26.091181143,39779.9280266472,thorecoin,THR,[],100000.0
517,17118778.4743456,518,2014-08-02T00:00:00.000Z,495,2018-12-09T00:54:05.000Z,,I/O Coin,1,,,,,,2018-12-09T00:54:05.000Z,2208939.95123176,0.168037,9.78972,-11.9536,0.129036073137,1557.06179439607,iocoin,IOC,[],17118778.4743456
518,541043821.234837,519,2018-04-23T00:00:00.000Z,2669,2018-12-09T00:53:24.000Z,,MARK.SPACE,9,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:24.000Z,2198901.7794465027,12.2033,-1.99105,-35.6164,0.00406418425485,166783.1469158,mark-space,MRK,[],3000000000.0
519,1546457129.50965,520,2018-04-10T00:00:00.000Z,2630,2018-12-09T00:53:26.000Z,,PolySwarm,6,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:26.000Z,2186525.398662272,-2.0786,-7.34461,-22.0112,0.00141389331585,59048.7223196982,polyswarm,NCT,[],1885913075.85154
520,2102483275.80659,521,2017-12-27T00:00:00.000Z,2312,2018-12-09T00:53:16.000Z,9000000000.0,DIMCOIN,13,,873.0,NEM,nem,XEM,2018-12-09T00:53:16.000Z,2186010.352814696,0.523703,-1.04863,-13.6587,0.00103972781994,139526.336431614,dimcoin,DIM,[],8986417067.78836
521,1959222046.85295,522,2018-03-25T00:00:00.000Z,2610,2018-12-09T00:53:23.000Z,,Peculium,5,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:23.000Z,2183196.077625035,0.595688,2.14082,-23.1695,0.00111431783913,22456.0859817864,peculium,PCL,[],2207856526.29857
522,450000000.0,523,2018-01-23T00:00:00.000Z,2453,2018-12-09T00:53:19.000Z,,EDUCare,5,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:19.000Z,2177546.494338,0.580608,-2.86525,-26.9842,0.00483899220964,95710.384088654,educare,EKT,[],1000000000.0
523,614315410.0229,524,2018-02-26T00:00:00.000Z,2546,2018-12-09T00:53:22.000Z,,Remme,10,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:22.000Z,2167679.1539183687,0.806236,1.60007,-17.1883,0.00352860943833,83199.3151359161,remme,REM,[],1000000000.0
524,3106709.93498925,525,2017-10-27T00:00:00.000Z,2107,2018-12-09T00:53:16.000Z,60000000.0,LUXCoin,6,,,,,,2018-12-09T00:53:16.000Z,2141240.0134518347,0.970241,3.58636,-26.8759,0.689230748367,13159.6953618701,luxcoin,LUX,['mineable'],6106709.93498925
525,20785264.0911937,526,2017-01-14T00:00:00.000Z,1505,2018-12-09T00:54:09.000Z,,Spectrecoin,5,,,,,,2018-12-09T00:54:09.000Z,2130356.8324268446,-0.585125,5.89425,-9.67777,0.102493613893,35189.4442783784,spectrecoin,XSPEC,[],20785264.0911937
